age,income,loan_amount,loan_term_months,credit_score,employment_years,num_prior_defaults,home_ownership,purpose,default
41,165766,575961,40,647,7,0,rent,auto,1
28,140095,768566,35,719,10,0,mortgage,education,1
46,272081,581996,52,717,0,0,rent,personal,1
47,250223,1171649,47,584,5,0,mortgage,personal,1
18,51425,928936,6,636,9,1,rent,education,1
25,354721,407742,46,471,6,0,rent,auto,1
39,208697,404592,18,628,12,0,mortgage,education,1
35,86688,640909,10,556,0,0,own,personal,1
38,362654,248594,33,605,0,0,own,medical,1
29,295081,849886,43,485,9,0,mortgage,home_improvement,1
47,68255,608480,6,652,9,0,mortgage,personal,1
46,433262,576938,49,484,5,2,own,business,1
39,299056,706086,50,632,8,0,mortgage,personal,1
49,218776,1016849,37,522,9,0,rent,auto,1
43,410826,551287,20,552,3,0,rent,auto,1
29,239116,466088,18,712,3,0,mortgage,personal,1
42,216630,952616,54,667,7,1,rent,personal,1
28,140764,790265,9,712,10,0,mortgage,business,1
47,289822,403706,55,745,1,0,rent,business,1
38,277192,501556,33,558,5,0,rent,home_improvement,1
36,221762,558614,34,740,5,1,rent,home_improvement,1
31,125202,608544,6,503,8,0,own,auto,1
50,235592,93020,33,680,6,1,mortgage,personal,0
36,211624,50000,47,581,4,0,rent,personal,0
34,59983,233783,12,546,11,0,rent,education,1
34,43383,210578,45,669,4,0,rent,business,1
43,287818,306853,38,696,5,0,rent,personal,1
42,20000,690413,24,693,0,1,own,personal,1
42,244649,449321,51,637,3,0,own,auto,1
42,162630,558918,6,631,8,1,rent,home_improvement,1
59,376990,132709,42,662,7,0,rent,auto,0
34,160784,361507,65,644,8,0,own,medical,1
33,299138,676177,62,663,8,0,rent,auto,1
30,172370,678486,43,636,14,0,rent,auto,1
44,233650,282628,31,687,3,0,own,auto,1
49,308420,548499,25,490,0,0,rent,business,1
37,164493,1159654,31,609,2,0,rent,medical,1
30,339587,494721,46,509,3,0,rent,auto,1
30,100756,292044,21,642,2,0,mortgage,personal,1
45,255351,447871,50,751,6,0,rent,personal,1
45,330717,527653,74,582,11,0,mortgage,personal,1
43,299204,454649,35,630,12,0,own,personal,1
31,449973,490594,12,681,8,0,own,personal,1
40,128387,66966,12,455,15,0,mortgage,medical,0
39,54502,211211,50,578,5,0,rent,business,1
40,100680,455199,35,649,0,0,rent,medical,1
47,299253,450420,52,388,10,0,rent,medical,1
40,279751,330143,26,542,0,0,own,home_improvement,1
45,232271,446896,51,708,3,0,own,home_improvement,1
39,85245,518304,33,700,8,0,mortgage,personal,1
41,312024,766824,23,650,6,1,own,personal,1
44,73035,470236,29,691,5,1,rent,personal,1
23,359074,619731,14,637,1,0,rent,home_improvement,1
35,562893,337520,72,664,6,0,rent,personal,0
33,263974,671629,34,595,10,0,mortgage,auto,1
32,289973,612719,48,629,6,1,rent,education,1
35,160857,759745,26,569,3,1,mortgage,education,1
53,20000,714038,17,721,1,0,rent,education,1
29,147674,676621,32,742,3,0,own,business,1
48,88853,470475,56,730,8,0,rent,education,1
21,46359,573482,27,587,7,0,mortgage,business,1
35,426683,819053,20,544,3,1,rent,personal,1
40,252744,304378,39,722,0,2,own,business,1
44,265563,311478,45,664,8,0,mortgage,education,1
